,@Username,Tweet,Lokasi
80,AnakTangsiAD,"°
| Manuver Kartu Mati 

manuver politik mblegedes. 
Alih² ingin merusak partai Gerindra. 

https://t.co/Rf1emf8ysN

PKS tidak menampik sampai saat ini cawapres Anies masih belum diputuskan. PKS bahkan mulai membuka peluang agar Anies berdampingan dengan Sandiaga Uno di 2024.",Kota Serdadu
81,AldiNeno,"@ridwankamil raih elektabilitas tertinggi tokoh potensial maju cawapres di Pemilu 2024. Posisi selanjutnya diisi Menparekraf Sandiaga Uno &amp; Menteri BUMN Erick Thohir di posisi tiga besar.
Hasil tersebut didapat berdasarkan survei yang dilakukan oleh IPS  https://t.co/dAHOq9ieMf","Ujungberung, Indonesia"
82,rahmadhdyt709,"sandiaga uno dipecat partai gerindra.
#sandiagauno #sandigagal #gerindra #partai #bapakidentitaspolitik #kacanglupakulit #dipecat #cnnindonesia https://t.co/UieNvnyxgf",
83,beritasulselcom,Andi Sudirman Dampingi Sandiaga Uno dan Teten Masduki Buka Inacraft 2023 - https://t.co/Z05vfdnQv1 https://t.co/ZBOQ99kUXI,
84,AyuPenari,Sandiaga Uno Dorong Kuningan Kembangkan Konsep Wisata Berbasis Komunitas https://t.co/x9XiCDl2d1 #WisataKuningan #Ciayumajakuning,"Semanu, Indonesia"
85,lingga_susilo,"Partai Elit ❎
Politik Sulit ✅
Owalahhhhh, Uno Uno udahlah lebih baik mundur aja, daripada harga diri jatuh. #Sandiagauno #Dipecat #Gerinda #Gakbisakerja #trending2023 #TrendingTopics #Trending https://t.co/vOYeN2xVZS",
86,wartapesona,Sandiaga Uno Mendorong Pelaku Ekraf di INACRAFT untuk Menjadi Agen Perubahan dalam Kebangkitan Ekonomi https://t.co/ng3JIzNvKG,Indonesia
87,wartapesona,Sandiaga uno Mendorong Kabupaten Kuningan untuk Mengembangkan Produk Pariwisata Berbasis Komunitas https://t.co/n14gRLTUoR,Indonesia
88,wartapesona,Mengagumkan! Sandiaga Uno Naik Kereta Panoramic KAI Wisata Selama Kunjungan Kerja ke Jawa Barat https://t.co/S3c8K2750Y,Indonesia
89,BaswaraJenggala,"Dan yg makin bikin gw down banget lihat wajah mama yg begitu berharap banget gw bisa sukses di jepang nanti,
Sampe kepikiran waktu itu ngedm pak anis baswedan dan pak sandiaga uno untuk minta beasiswa atau bantuan dana agar gw bisa sekolah dan bekerja diluar negri",Tokyo 
90,tennierubyten,"ameeen, thank you sandiaga uno. 🤗🙏🏻 *cipika cipiki*

mau apa sebut aja. 😌",MTY-003
91,Disuruh_Iben,"Prabowo Subianto:  Imej Tegasnya Kadung Nempel, Siapa Sangka Sisi Lain Prabowo Subianto Subianto Begini, Sandiaga Uno Sebut Bak Komika - GridPop https://t.co/uWG6oUXQcK #PrabowoPerkuatKesehatan #BangkitBersama",Pulau Impian
92,tiafatmawati9,"Elektabilitas Sandiaga Uno Teratas, Gerindra: Sosok Cawapres Terkuat Prabowo Tentu Cak Imin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Wis Wayahe Prabowo",
93,arjune_syauqi,"Elektabilitas Sandiaga Uno Teratas, Gerindra: Sosok Cawapres Terkuat Prabowo Tentu Cak Imin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Wis Wayahe Prabowo",
94,MilaSafira,"Elektabilitas Sandiaga Uno Teratas, Gerindra: Sosok Cawapres Terkuat Prabowo Tentu Cak Imin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Wis Wayahe Prabowo",Bekasi
95,ricko_liquid,"Kunjungi Kediaman Sandiaga Uno, KPUD Jaksel Berharap Masyarakat Kawal Coklit Data Pemilih

 #Sindonews #BukanBeritaBiasa .https://t.co/HgCtDO7mIU","Purworejo, Indonesia"
96,IfkhaSyabil,"Elektabilitas Sandiaga Uno Teratas, Gerindra: Sosok Cawapres Terkuat Prabowo Tentu Cak Imin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Wis Wayahe Prabowo",
97,SINDOnews,"Kunjungi Kediaman Sandiaga Uno, KPUD Jaksel Berharap Masyarakat Kawal Coklit Data Pemilih

 #Sindonews #BukanBeritaBiasa .https://t.co/rZyfeaqhKO","Jakarta Pusat, DKI Jakarta"
98,channel_alec,"@MayaA62580468 Bisa di lanjutkan oleh GANJAR-SANDIAGA UNO
Pasti INDONESIA MAJU...","DKI Jakarta, Indonesia"
99,Txtdrberita1,"Kunjungi Kediaman Sandiaga Uno, KPUD Jaksel Berharap Masyarakat Kawal Coklit Data Pemilih https://t.co/lrSWJiBwif",
100,elangnewscom,https://t.co/k3KOrxRmDQ - Sandiaga Uno Ajak Santri Kreatif Berkarya Bernuansa Islami #elangnews https://t.co/CsSr5MHr1T,Indonesia
101,oke_zone,"Sandiaga Uno Pakai Jaket Karya Callista Aldenia, Remaja Bandung Pencipta Kostum Billie Ellish Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno mengapresiasi karya Callista Aldenia yang sukses mendesain baju ... https://t.co/h5ucgABYnW",
102,terkinidotid,"Gubernur Dampingi Sandiaga Uno Tinjau Produk Kerajinan: Produk Sulsel Luar Biasa: Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) RI, Sandiaga Salahuddin Uno mengapresiasi Pemprov Sulsel… https://t.co/nP02YaIdXz #Sulsel #PemprovSulsel #GubernurSulselAndiSudirmanSulaiman","Makassar, Indonesia"
103,rakyatinfo7,"Berikut data lengkap elektabilitas capres 2024 versi IPS:

Prabowo Subianto 33,2%

Ganjar Pranowo 22,1%

Anies Baswedan 20,9%

Ridwan Kamil 6,2%

Agus Harimurti Yudhoyono 4,3%

Erick Thohir 4,2%

Sandiaga Uno 2,7%

Airlangga Hartarto 2,6%

Puan Maharani 2,2",
