,date,username,tweet
91,2023-02-13 08:00:05,jpnncom,"Buka Sentral Oleh-oleh Makassar, Sandiaga Uno Hidupkan Kembali UMKM Sulsel #SandiagaUno  https://t.co/wv8HIV9jQr"
92,2023-02-13 07:46:17,fajaronline,"Sentil Sandi Soal Utang Piutangdi Pilgub DKI Jakarta, Eko Kuntadhi: Bayarnya Pakai Proyek?  https://t.co/32kkoLKFDo #AniesBaswedan #EkoKuntadhi #PilgubDkiJakarta #SandiagaUno"
93,2023-02-13 07:43:05,sobat_sandi,Mas Menteri ucapkan terimakasih atas suksesnya acara ATF 🫡👏  #sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #Video #viral2023 #AlwaysWithYou FIRST JOB CURRENT JOB DREAM JOB #mondaythoughts Senin #asean #tourism  https://t.co/Y8IrmYUo3O
94,2023-02-13 06:57:19,erniandiny123,Inikah yang dinamakan surat cinta? #aniesbaswedan #sandiagauno   https://t.co/hsX74SOTA0
95,2023-02-13 05:52:07,warna_nusa,"Lindungi Anies dan Amankan Tempat untuk AHY, Demokrat Bongkar Niat Sandiaga Uno?  #AniesBaswedan #sandiagauno   https://t.co/wz8qFVNkmu"
96,2023-02-13 05:27:59,ketikmedia,Anies Baswedan Klarifikasi Uang 50 Miliar Sandiaga Uno  Sumber:  https://t.co/rK3U5xhcxg | Media Kolaborasi Indonesia.  https://t.co/eO2mT0Ay36  #anies #aniesbaswedan #sandiaga #sandiagauno #kampanye #sumbangan #pinjaman #politik  #beritapolitik #berita #beritaterbaru  https://t.co/9NTjPkE52I
97,2023-02-13 05:16:57,kompastvjateng,Sandiaga Enggan Perpanjang Polemik Utang dengan Anies #viral #trending #sandiagauno #AniesBaswedan   https://t.co/F4s34QZShR
98,2023-02-13 04:11:34,warna_nusa,"Suhu Politik Memanas, Demokrat Buka-bukaan Soal Sandiaga Uno di Pemilu 2019, Benarkah Ingin Tikung Prabowo?  #sandiagauno   https://t.co/JskHolITog"
99,2023-02-13 03:12:27,PutraAlamsyahJ1,Ngeriiiii....!!!! #sandiagauno #sandi #Pilpres2024  https://t.co/YgwFItzkVv
100,2023-02-13 03:08:35,Economicreview_,Sandiaga Uno Klaim Wisatawan Asing Ke Indonesia Naik 150 Persen  https://t.co/zJxwH4Wg8e #sandiagauno
101,2023-02-13 02:31:26,palopoleaks,"Sudah Ditinggal Anies Baswedan, Kini Sandiaga Uno Bakal Nyusul, Prabowo Subianto Ditantang di Pilpres 2024 #Pilpres2024 #prabowo #AniesBaswedan #sandiagauno   https://t.co/lWCJk6L5SD"
102,2023-02-13 00:54:51,Agamsyah1998,"Politik identitas di mainkan, sandiaga bahayakan negara. #sandiaga #sandiagauno #politik #ssndigagal  https://t.co/kl2jO3GpFO"
103,2023-02-13 00:45:27,AsepSeptiyana_,"loh.. loh.. loh.. kok bisa si pak berbuat kaya gini, dduuh ngeri bgt ya 🙃🙃 #sandiagauno #sandi #kemenparekraf #wonderfulindonesia #politikidentitas #IndonesiaJuara #indonesiamaju  https://t.co/LZJiwBS8hF"
104,2023-02-13 00:41:51,Cahyokt4,"Jangaaaan..  Jangaaaan sampai kejadian yang lalu lalu terjadi lagi..  Kami cinta #NKRI , kami ingin adanya kedamaian dan #Toleransi tinggi..  Bukan Politik seperti ini..   #KritikSandi #Ruangsandi #SandiagaUno #WonderfullIndonesia #BangkitBersamaKemenparekraf #DiIndonesiaAja  https://t.co/lryV1L6oM3"
105,2023-02-13 00:07:26,andrikingo77,Yaampun Pak Sandi hari gini masih mau pake politik identitas? Hobi banget sih mecah belah bangsa #sandiagauno #sandiwara #politikidentitas #politik #jakarta #kemenparekraf #sandiwaraterus #kacau #ngebetnyapres  https://t.co/1Q87L4oKIy
